,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,likes
0,Nob Hill,37.793360000000064,-122.41787,Acquerello,3fd66200f964a52013ed1ee3,37.79166942920909,-122.42140678564287,Italian Restaurant,82
1,Inner Sunset,37.762110000000064,-122.46885999999995,Ebisu,3fd66200f964a52017ed1ee3,37.76435429827475,-122.46635766882568,Sushi Restaurant,264
2,Jackson Square,37.79708000000005,-122.39840999999996,Slanted Door,3fd66200f964a52018ed1ee3,37.79622211218807,-122.39389548483183,Vietnamese Restaurant,1200
4,South Park,37.78145000000006,-122.39385999999996,Fringale,3fd66200f964a5201bed1ee3,37.778731157713864,-122.39710460817119,French Restaurant,60
5,Russian Hill,37.80203000000006,-122.41962999999998,Gary Danko,3fd66200f964a52025ee1ee3,37.805750980159246,-122.4204880092155,New American Restaurant,293
6,Embarcadero,37.79532000000006,-122.39393999999999,Boulevard,3fd66200f964a52052ed1ee3,37.79332,-122.392761,French Restaurant,388
7,Marina District,37.80315000000007,-122.43674999999996,Ace Wasabi's Rock-N-Roll Sushi,3fd66200f964a52054ed1ee3,37.800258704958715,-122.4378527588878,Sushi Restaurant,77
8,Financial District South,37.795780000000036,-122.40047999999996,Bix,3fd66200f964a5205af11ee3,37.79676889447939,-122.4029572795956,New American Restaurant,242
11,Mission District,37.759930000000054,-122.41807999999997,Foreign Cinema,3fd66200f964a520a0ec1ee3,37.75648806689791,-122.41922596316283,New American Restaurant,1415
12,Pacific Heights,37.79291000000006,-122.43463999999994,Jackson Fillmore,3fd66200f964a520a3eb1ee3,37.79259770938566,-122.43457540756175,Italian Restaurant,98
13,Design District,37.77853007328749,-122.39321008050078,MoMo's,3fd66200f964a520bbec1ee3,37.77984021313858,-122.38989944600591,American Restaurant,172
15,Lake Street,37.785060000000044,-122.46403999999995,Chapeau!,3fd66200f964a520ccec1ee3,37.783238280147856,-122.46070906260171,French Restaurant,105
17,Financial District South,37.795780000000036,-122.40047999999996,House of Nanking,3fd66200f964a520d2ed1ee3,37.79652150545052,-122.40517319905582,Jiangsu Restaurant,365
19,Lake Street,37.785060000000044,-122.46403999999995,King of Thai Noodle,3fd66200f964a520d7ec1ee3,37.782794053837705,-122.46616907286867,Thai Restaurant,48
21,Lake Street,37.785060000000044,-122.46403999999995,Bella Trattoria Italiana,3fd66200f964a520dbec1ee3,37.781315310240394,-122.46103951859854,Italian Restaurant,100
22,Lake Street,37.785060000000044,-122.46403999999995,Brother's Korean Restaurant,3fd66200f964a520deec1ee3,37.78110336136357,-122.46390758378807,Korean Restaurant,149
23,Richmond District,37.78066000000007,-122.47088999999994,Good Luck Dim Sum 好運點心,3fd66200f964a520f0ec1ee3,37.78288521217207,-122.46722368903595,Dim Sum Restaurant,166
25,Jordan Park,37.784650000000056,-122.45664,Le Soleil,3fd66200f964a520fcec1ee3,37.783062157910784,-122.46077283488573,Vietnamese Restaurant,32
26,Lake Street,37.785060000000044,-122.46403999999995,Mandalay,3fd66200f964a520feec1ee3,37.78512651139495,-122.46437425784686,Burmese Restaurant,286
